firm,date_announced,headcount_change,percentage,source_url,ai_cover_narrative_y_n,notes
Crypto.com,2026-03,180,-12%,https://www.coindesk.com/business/2026/03/19/crypto-com-cuts-12-of-staff-as-it-integrates-ai-into-internal-processes,Y,AI-efficiency rationale (CEO); press reports concentrate cuts in growth + CRM (marketing-adjacent) — source-URL + marketing-impact enrichment 2026-06-27; MarketAcross stated PR partner
Gemini,2026-02-05,undisclosed,-25% (firm-announced); ~-30% YTD [VERIFY],https://cointelegraph.com/news/gemini-exit-uk-eu-australia-slashes-workforce,Y,"IN-COHORT (Stratum 1 tracked firm). ROW CORRECTED 2026-07-28: previously undated (""2026-Q1""), unsourced (no URL) and flagged ai_cover=N. All three were wrong. PRIMARY EVENT DATE 2026-02-05 (Thursday) — Gemini announced simultaneous (a) EXIT FROM THE UNITED KINGDOM, EUROPEAN UNION AND AUSTRALIA and (b) a 25% workforce reduction. STATED RATIONALE IS AI-FRAMED AND FIRM-STATED, NOT INFERRED: the announcement cites artificial intelligence automating labour and making engineers '100x' more efficient, alongside a harder business environment in the UK/EU/AU. Verbatim from the announcement: ""These foreign markets have proven hard to win in for various reasons, and we find ourselves stretched thin with a level of organizational and operational complexity that drives our cost structure up and slows us down"" and ""We don't have the demand in these regions to justify them. The reality is that America has the world's greatest capital markets."" Resources redirected to US business + the Gemini Predictions prediction-market platform (launched Dec-2025; 10,000+ users and $24M volume at announcement): ""Our thesis is that prediction markets will be as big or bigger than today's capital markets."" NOT a marketing-team-specific cut; no function named. FIGURE RECONCILIATION, UNRESOLVED AND FLAGGED: this row previously carried '-30% YTD' with no source; the primary-reported Feb-05 event is 25%. The two are compatible if further Q1 cuts followed, but the corpus has no source for the additional ~5pp — 25% (2026-02-05) is the only figure with a citation and is the only one safe to print. [VERIFY] the YTD aggregate before Phase 2 uses it. THEME-4 (this is the important part): Gemini is the FIRST Tier-1 tracked exchange in the corpus to withdraw from the EU market — 2026-02-05, FIVE MONTHS BEFORE the 1 July transitional deadline and four months before Binance's EU exit (regulator-filings/binance-mica-eu-exit-2026-06.md). The corpus previously treated the Binance exit as the leading case; it was not the first. A tracked firm exiting the EU also removes its entire EU marketing surface from the report's observable universe — an absence with a documented cause, which is a different object from an absence with none. THEME-5: confirms AI framing at a fourth tracked consumer exchange; watch (h') n=4 -> n=6. Near-primary source: Cointelegraph 2026-02-05 (quotes the company announcement directly). [VERIFY] locate and archive Gemini's own announcement post for a fully primary anchor. Corrected 2026-07-28."
Algorand,2026-Q1,,-25%,,N,
Coinbase,2026-05-05,~700,-14%,https://fortune.com/2026/05/05/coinbase-layoffs-14-of-employees-ai-tech-ai-job-anxiety-crypto/,Y,Armstrong memo: surviving org reorg around AI-native pods; mgmt capped 5 layers; every leader an IC; pods may be single-operator
Block,2026-Q2,4000,,,,Crypto-adjacent perimeter
MARA Holdings,2026-Q2,40,,,,Crypto-adjacent perimeter
Robinhood,2026-06-16,~290,-10%,https://techcrunch.com/2026/06/16/robinhoods-note-on-10-layoffs-shows-blaming-ai-isnt-cutting-it/,N,"Crypto-adjacent perimeter (broker; ~$28M restructuring charge per SEC filing). NOT a marketing-team-specific cut. Theme-1 relevance: stated rationale is to ""flatten management layers / accelerate product velocity / remain lean and disciplined"" (CEO Tenev) — direct echo of Coinbase's mgmt-layer-flattening + IC-leader read; Tenev explicitly declined the AI-blame framing. Added 2026-06-28."
BitGo,2026-06-26,,-15%,https://cryptojobslist.com/crypto-layoffs,Y,"Crypto-adjacent perimeter (custody/infra; CEO Mike Belshe announced via X). NOT a marketing-team-specific cut. Narrows focus to 5 core areas (security, trading, stablecoins, settlement, AI-powered infrastructure) — AI-infra repositioning narrative. Added 2026-06-28; primary X post pending durable URL, logged via CryptoJobsList tracker."
Polygon Labs,2026-07-16,undisclosed,undisclosed,https://x.com/0xMarcB/status/2077734931434790989,N,"IN-COHORT (Stratum 2 tracked firm) — first tracked-firm layoff row since Coinbase 05-05; all rows added since then were adjacency-perimeter. NOT a marketing-team-specific cut; no function named. Headcount/percentage NOT disclosed for this round (aggregator round-ups reporting ~100/-20% are conflating the Feb-2023 round — verified against TheStreet/Yahoo 2026-07-16 and AMBCrypto 2026-07-16, both state figures not shared). Second round of 2026 (60 cut Jan-2026 post-Coinme/Sequence $250M acquisition); at least 4th in 4 years. Primary source: CEO Marc Boiron on X. Stated rationale: completing transformation from ""blockchain foundation"" into blockchain-enabled payments company + Coinme team integration, targeting profitability 2027; Boiron internal note: ""the market has shifted from building differentiated components to delivering one integrated stack through a single API, a change that requires different talent and organization"" and ""I would rather make the right call now than delay it""; explicitly stated cuts not tied to performance; severance + transition support offered. THEME-5 NUANCE: stated rationale is REPOSITIONING/M&A-integration, NOT the AI-efficiency framing that dominates Crypto.com/Coinbase/Kraken/Gemini — first tracked-firm 2026 cut to break the AI-cover pattern. Added 2026-07-20."
Exodus Movement (EXOD) [PERIMETER],2026-07-17,undisclosed,-25%,https://www.sec.gov/Archives/edgar/data/1821534/000119312526308023/d63529dex991.htm,N,"PERIMETER (non-tracked cohort; self-custody wallet firm EXOD, NYSE American). NOT a marketing-team-specific cut; no function named. Verified against PRIMARY SEC Exhibit 99.1 (filed 2026-07-17) — approx 25% global workforce reduction; pre-tax charges $2.5M-$3.5M (severance/personnel); ~$10M-$13M annualized savings, full benefit 2027. Stated rationale: realign cost structure with strategy to build a full-stack card issuance / stablecoin payments platform; continuing integration of acquired Monavate + Baanx; 'expense discipline in light of current market conditions.' CEO JP Richardson (not a marketing operator). THEME-5 NUANCE: stated rationale is REPOSITIONING/PAYMENTS-PIVOT, NOT AI-efficiency — the SECOND non-AI rationale in a week after Polygon Labs (2026-07-16), and notably a convergent 'stablecoin/payments pivot' narrative. Perimeter corroboration of watch item (h); does not itself satisfy (h) (which requires a second TRACKED firm). Secondary: CoinDesk 2026-07-20 https://www.coindesk.com/business/2026/07/20/exodus-to-cut-25-of-global-workforce-in-payments-shift ; GlobeNewswire PR 2026-07-17. Added 2026-07-23. *** FIGURE CONFLICT LOGGED 2026-08-01, NOT RESOLVED. *** crypto.news (2026-07-30) reports the same SEC filing as affecting 'about 77 employees and individual service providers'; the CryptoJobsList aggregate lists 54 for Exodus. 77 (SEC-sourced) vs 54 (aggregator). THE PRIMARY WINS — and the discrepancy is the reason CryptoJobsList per-firm figures are NOT imported as corpus rows anywhere in this tracker. Headcount cell left as 'undisclosed' because the SEC exhibit itself states a percentage, not a headcount; ~77 is reporting of the filing, not the filing's own number. [VERIFY] against the exhibit text before printing any absolute number."
